,review_id,plot,cast,production,visuals,soundplay,dialogue,originality
0,rw1618162,negative,negative,negative,not discussed,not discussed,negative,negative
1,rw1638421,negative,negative,negative,negative,negative,negative,negative
2,rw1719972,negative,positive,neutral,positive,not discussed,negative,positive
3,rw1628910,neutral,positive,not discussed,not discussed,not discussed,not discussed,negative
4,rw1645050,negative,negative,negative,negative,negative,negative,negative
5,rw1619025,negative,positive,negative,neutral,not discussed,negative,negative
6,rw2437028,negative,negative,negative,positive,not discussed,negative,negative
7,rw1719066,negative,positive,negative,not discussed,not discussed,negative,negative
8,rw1726760,neutral,positive,positive,positive,not discussed,positive,negative
9,rw1753089,negative,positive,negative,not discussed,not discussed,negative,negative
10,rw1620241,negative,positive,negative,negative,not discussed,negative,negative
11,rw1744064,negative,negative,negative,negative,not discussed,negative,negative
12,rw1706202,mixed,positive,not discussed,not discussed,not discussed,negative,negative
13,rw1863791,negative,negative,negative,positive,not discussed,negative,negative
14,rw2160408,negative,mixed,not discussed,not discussed,not discussed,negative,negative
15,rw2524883,negative,negative,negative,negative,not discussed,negative,negative
16,rw1891685,negative,negative,negative,neutral,not discussed,mixed,negative
17,rw1700990,positive,positive,not discussed,not discussed,not discussed,not discussed,not discussed
18,rw1749619,negative,negative,negative,negative,negative,negative,negative
19,rw2722553,not discussed,not discussed,not discussed,not discussed,not discussed,positive,not discussed
20,rw1710264,negative,negative,negative,not discussed,not discussed,negative,negative
21,rw1938239,negative,negative,negative,negative,negative,negative,negative
22,rw1755180,negative,negative,negative,not discussed,not discussed,negative,negative
23,rw1795505,not discussed,not discussed,not discussed,not discussed,not discussed,negative,not discussed
24,rw1724135,negative,neutral,negative,negative,not discussed,negative,negative
25,rw1940908,positive,positive,not discussed,not discussed,not discussed,positive,not discussed
26,rw2123326,positive,positive,neutral,not discussed,not discussed,mixed,positive
27,rw1735044,positive,positive,not discussed,not discussed,not discussed,positive,positive
28,rw1753048,negative,negative,not discussed,not discussed,not discussed,negative,negative
29,rw1845691,negative,not discussed,negative,negative,not discussed,negative,negative
30,rw2064347,negative,positive,negative,not discussed,not discussed,negative,negative
31,rw1947222,negative,mixed,negative,not discussed,not discussed,negative,positive
32,rw1752117,negative,neutral,negative,not discussed,not discussed,negative,negative
33,rw6580381,negative,mixed,negative,not discussed,not discussed,negative,negative
34,rw1822860,negative,neutral,not discussed,not discussed,not discussed,negative,negative
35,rw1768742,negative,negative,negative,not discussed,not discussed,negative,negative
36,rw1987425,negative,negative,negative,negative,negative,negative,negative
37,rw1982738,negative,negative,negative,negative,not discussed,negative,negative
38,rw3814474,negative,neutral,negative,not discussed,not discussed,negative,negative
39,rw1753476,positive,not discussed,not discussed,not discussed,not discussed,positive,negative
40,rw1814836,mixed,positive,not discussed,not discussed,not discussed,mixed,negative
41,rw1749966,negative,negative,negative,not discussed,not discussed,negative,negative
42,rw1766933,mixed,neutral,not discussed,not discussed,not discussed,negative,neutral
